num_words,num_characters,num_exclamation_marks,num_links,has_suspicious_link,num_attachments,has_attachment,sender_reputation_score,email_hour,email_day_of_week,is_weekend,num_recipients,contains_money_terms,contains_urgency_terms,target
23,139,0,1,0,1,1,0.67,16,3,0,14,0,1,
18,139,0,2,1,0,0,0.72,9,3,0,5,0,0,
17,98,0,1,0,2,1,0.63,22,2,0,8,0,0,
18,103,0,3,1,0,0,0.82,9,0,0,8,1,1,
23,140,0,4,0,1,1,0.46,20,0,0,15,1,0,
17,98,0,4,1,0,0,0.48,16,1,0,10,1,1,
19,121,0,2,0,0,0,0.92,12,4,0,10,0,0,
25,168,0,2,0,0,0,0.87,17,6,1,5,0,0,
13,84,0,2,0,0,0,0.93,7,0,0,30,0,0,
22,139,0,1,0,1,1,0.76,17,3,0,8,0,0,
19,129,0,1,0,0,0,0.56,5,0,0,27,1,0,
12,85,0,3,1,1,1,0.79,15,6,1,3,0,1,
17,107,0,5,0,1,1,0.66,16,4,0,23,0,0,
13,78,0,3,1,2,1,0.67,16,3,0,15,0,0,
21,155,0,6,1,0,0,0.81,17,2,0,30,1,1,
17,107,0,0,1,0,0,0.52,4,0,0,27,0,0,
11,63,0,5,1,0,0,0.6,22,3,0,29,1,0,
14,77,0,6,0,0,0,0.83,14,0,0,4,0,0,
18,120,0,6,0,2,1,0.92,19,6,1,8,0,0,
19,133,0,7,1,1,1,0.78,22,0,0,29,0,0,
18,120,0,2,0,2,1,0.51,14,4,0,16,0,0,
14,87,0,4,0,2,1,0.91,10,3,0,20,0,0,
24,154,0,4,1,0,0,0.51,18,0,0,20,1,1,
25,174,0,6,1,0,0,0.47,11,2,0,25,1,1,
11,58,0,7,1,1,1,0.63,18,0,0,28,1,0,
23,139,0,7,0,1,1,0.68,12,2,0,25,1,1,
17,107,0,4,1,1,1,0.81,8,5,1,1,0,0,
22,155,0,3,1,1,1,0.58,7,0,0,4,0,0,
10,64,0,1,0,1,1,0.77,3,6,1,9,0,0,
16,99,0,7,1,1,1,0.56,14,3,0,8,1,1,
22,142,0,7,1,1,1,0.72,14,2,0,4,0,1,
20,128,0,3,0,1,1,0.57,17,1,0,11,0,0,
11,68,0,3,0,0,0,0.93,1,1,0,30,0,0,
16,104,0,2,0,1,1,0.84,10,3,0,13,0,1,
20,143,0,6,1,0,0,0.52,9,4,0,27,0,1,
18,121,0,6,0,2,1,0.94,1,0,0,17,0,0,
22,139,0,7,1,0,0,0.78,23,5,1,26,0,1,
21,125,0,0,0,0,0,0.36,20,2,0,29,1,1,
25,164,0,5,1,1,1,0.44,8,5,1,2,1,0,
15,91,0,6,1,0,0,0.98,10,6,1,28,0,0,
14,90,0,7,1,0,0,0.57,21,0,0,28,0,0,
15,104,0,7,1,1,1,0.8,5,1,0,2,0,0,
6,26,0,3,0,0,0,0.79,7,2,0,13,1,0,
24,154,0,7,1,2,1,0.63,19,6,1,24,0,1,
20,119,0,3,0,1,1,0.49,7,0,0,27,1,0,
13,83,0,2,0,2,1,0.68,9,3,0,27,0,1,
22,136,0,0,1,1,1,0.88,17,3,0,19,0,0,
25,148,0,3,0,0,0,0.61,4,4,0,11,1,1,
14,87,0,6,1,0,0,0.56,0,2,0,25,1,0,
15,87,0,5,0,0,0,0.51,10,1,0,26,1,1,
8,44,0,7,1,2,1,0.72,15,2,0,29,0,0,
13,74,0,7,0,1,1,0.33,4,0,0,13,1,1,
16,108,0,3,1,0,0,0.8,11,4,0,16,0,0,
5,27,0,0,1,2,1,0.78,16,4,0,22,1,0,
8,57,0,4,0,2,1,0.79,2,6,1,21,0,0,
13,86,0,0,0,0,0,0.74,18,4,0,9,0,0,
19,118,0,0,0,2,1,0.98,17,0,0,4,0,1,
23,161,0,7,1,0,0,0.98,9,2,0,23,0,1,
18,99,0,1,0,2,1,0.96,6,4,0,19,0,0,
28,156,0,8,0,1,1,0.31,2,2,0,8,1,0,
10,57,0,4,0,1,1,0.6,3,5,1,18,0,0,
29,185,0,1,0,0,0,0.81,21,3,0,28,1,1,
17,101,0,7,1,1,1,0.66,4,2,0,3,0,0,
27,178,0,5,0,1,1,0.72,2,3,0,4,1,1,
25,173,0,5,1,0,0,0.3,3,6,1,11,0,0,
13,75,0,4,1,1,1,0.79,23,2,0,7,1,1,
15,88,0,1,1,0,0,0.46,21,1,0,16,1,1,
15,103,0,7,0,0,0,0.87,22,5,1,3,0,0,
19,117,0,6,0,1,1,0.62,22,1,0,20,0,1,
21,129,0,6,1,0,0,0.4,7,3,0,28,0,1,
19,104,0,7,0,0,0,0.65,19,4,0,9,0,1,
12,73,0,5,1,2,1,0.54,23,6,1,11,0,0,
14,80,0,4,1,1,1,0.84,7,2,0,9,0,1,
9,56,0,8,0,0,0,0.83,23,5,1,20,1,1,
14,90,0,6,0,1,1,0.74,13,0,0,27,0,0,
15,84,0,6,1,0,0,0.8,8,1,0,21,1,0,
15,102,0,1,1,0,0,0.82,0,4,0,10,0,0,
23,167,0,6,0,1,1,0.86,20,6,1,12,0,0,
15,86,0,4,1,1,1,0.56,23,2,0,27,0,0,
20,133,0,8,1,1,1,0.75,22,4,0,28,0,0,
16,99,0,4,1,1,1,0.99,6,1,0,25,1,1,
28,171,0,5,0,0,0,0.61,0,2,0,11,1,1,
14,89,0,2,0,2,1,0.51,11,6,1,3,1,0,
14,94,0,0,1,0,0,0.99,9,2,0,6,0,0,
18,122,0,7,1,1,1,0.86,14,3,0,23,1,1,
17,116,0,5,1,0,0,0.6,14,2,0,1,0,0,
16,104,0,5,1,1,1,0.92,11,4,0,10,0,1,
17,97,0,4,1,0,0,0.79,21,2,0,6,0,0,
13,90,0,3,1,1,1,0.98,18,2,0,30,0,0,
15,98,0,1,0,2,1,0.55,8,4,0,20,0,0,
20,141,0,0,0,0,0,0.67,21,2,0,8,0,0,
30,187,0,1,0,1,1,0.55,3,0,0,12,1,1,
17,105,0,1,0,1,1,0.67,12,1,0,28,0,0,
16,115,0,4,1,0,0,0.49,19,5,1,15,1,1,
21,134,0,1,1,0,0,0.59,4,3,0,21,1,1,
12,74,0,0,0,1,1,0.86,7,1,0,11,0,0,
17,107,0,3,0,0,0,0.56,11,0,0,30,1,0,
21,127,0,6,1,0,0,0.62,3,2,0,25,1,1,
16,105,0,6,1,0,0,0.99,22,1,0,9,0,0,
24,148,0,2,0,1,1,0.73,22,1,0,17,0,0,
15,94,0,2,0,2,1,0.87,11,1,0,27,0,0,
13,84,0,2,1,1,1,0.38,22,1,0,13,0,0,
18,109,0,3,1,0,0,1.0,23,3,0,30,0,0,
12,76,0,1,0,2,1,0.61,14,0,0,14,1,0,
15,104,0,3,0,1,1,0.8,4,2,0,29,0,1,
26,162,0,2,0,0,0,0.73,17,0,0,23,1,1,
20,141,0,8,1,0,0,0.55,11,1,0,5,0,0,
24,159,0,6,1,0,0,0.37,6,0,0,14,1,1,
12,77,0,2,0,2,1,0.8,19,2,0,14,0,0,
21,128,0,2,0,1,1,0.8,9,2,0,27,1,1,
13,62,0,8,1,0,0,0.82,14,6,1,20,1,0,
20,127,0,6,0,1,1,0.69,7,0,0,22,0,1,
15,97,0,7,1,1,1,0.84,6,0,0,10,1,1,
15,99,0,7,1,0,0,0.83,3,2,0,7,0,1,
12,73,0,2,0,0,0,0.67,20,6,1,21,0,1,
10,58,0,0,0,2,1,0.91,20,4,0,8,0,0,
11,77,0,0,0,0,0,0.56,22,2,0,2,0,0,
18,111,0,7,1,0,0,0.5,3,4,0,9,0,0,
18,108,0,7,1,0,0,0.33,16,5,1,4,0,1,
26,176,0,3,0,0,0,0.7,5,1,0,15,1,1,
22,144,0,5,1,0,0,0.41,13,6,1,9,0,1,
11,75,0,7,0,1,1,0.96,19,2,0,25,0,1,
15,103,0,4,1,1,1,0.53,22,0,0,22,1,1,
21,125,0,0,0,1,1,0.45,0,6,1,24,1,0,
9,56,0,3,1,0,0,0.78,3,6,1,26,0,1,
11,65,0,2,0,0,0,0.56,19,6,1,16,0,0,
14,88,0,4,1,1,1,0.82,10,2,0,10,0,1,
22,137,0,2,0,1,1,0.44,2,2,0,19,0,1,
20,129,0,5,1,1,1,0.78,5,5,1,8,0,0,
16,107,0,3,0,1,1,0.51,12,2,0,4,1,0,
16,82,0,6,1,2,1,0.75,10,4,0,23,0,0,
21,135,0,4,1,1,1,0.46,14,0,0,27,0,1,
13,91,0,6,1,0,0,0.77,14,1,0,21,0,0,
23,155,0,4,1,1,1,0.9,8,1,0,11,0,0,
14,89,0,6,1,0,0,0.8,2,6,1,24,1,1,
19,124,0,0,0,0,0,0.84,0,2,0,21,0,0,
27,178,0,4,1,0,0,0.72,13,1,0,25,1,0,
20,129,0,2,0,2,1,0.52,10,6,1,17,0,1,
14,96,0,8,0,0,0,0.79,7,5,1,13,0,1,
17,113,0,6,1,0,0,0.77,14,1,0,21,1,1,
18,117,0,2,0,1,1,0.87,12,1,0,16,1,1,
26,160,0,6,1,0,0,0.61,16,6,1,16,0,0,
17,106,0,7,0,0,0,0.32,7,1,0,18,1,1,
8,59,0,5,0,0,0,0.83,15,4,0,6,1,0,
19,127,0,3,1,2,1,0.73,3,0,0,26,0,0,
17,96,0,2,1,2,1,0.52,1,0,0,27,0,1,
27,167,0,1,1,0,0,0.66,9,5,1,4,1,0,
19,130,0,6,1,0,0,0.8,16,0,0,24,0,0,
20,114,0,3,0,1,1,0.7,19,5,1,7,1,1,
15,78,0,4,0,0,0,0.91,15,2,0,14,0,1,
24,156,0,0,0,2,1,0.64,17,0,0,4,0,0,
23,129,0,3,1,1,1,0.55,7,5,1,11,0,0,
28,172,0,7,0,1,1,0.57,12,3,0,13,1,1,
18,111,0,3,1,0,0,0.32,0,2,0,8,1,1,
22,134,0,6,1,0,0,0.52,9,6,1,1,1,1,
18,104,0,4,1,0,0,0.53,9,3,0,26,0,0,
13,84,0,0,0,0,0,0.9,12,0,0,1,0,1,
17,107,0,6,0,0,0,0.57,13,2,0,15,0,1,
15,100,0,3,1,0,0,0.6,4,2,0,6,0,0,
24,141,0,2,1,0,0,0.71,1,1,0,7,0,1,
24,142,0,8,1,0,0,0.56,7,2,0,16,1,1,
29,168,0,4,0,1,1,0.52,12,4,0,9,0,1,
27,198,0,4,1,2,1,0.87,2,1,0,29,1,0,
15,94,0,5,1,1,1,0.87,23,2,0,30,1,1,
15,96,0,0,0,1,1,0.7,23,4,0,20,1,1,
17,107,0,1,1,1,1,0.87,10,5,1,21,0,0,
15,80,0,3,0,1,1,0.81,1,1,0,25,0,0,
13,82,0,0,0,1,1,0.84,2,2,0,11,0,0,
19,126,0,0,0,0,0,0.74,20,2,0,13,0,0,
13,78,0,0,0,1,1,0.63,16,0,0,13,1,0,
13,71,0,2,1,1,1,0.79,10,4,0,22,0,1,
19,123,0,7,1,1,1,0.56,17,6,1,4,1,1,
16,120,0,0,0,2,1,0.52,9,6,1,15,0,1,
15,93,0,1,0,2,1,0.87,21,3,0,24,0,0,
25,172,0,0,0,0,0,0.32,21,5,1,15,0,1,
23,150,0,4,1,1,1,0.93,14,6,1,9,0,1,
16,96,0,8,1,0,0,0.55,20,6,1,10,1,1,
20,126,0,8,1,0,0,0.69,22,6,1,13,0,1,
25,155,0,1,0,0,0,0.55,8,6,1,10,1,1,
17,111,0,2,0,0,0,0.59,4,0,0,27,1,1,
16,103,0,8,1,1,1,0.78,21,3,0,17,0,0,
12,65,0,6,1,1,1,0.52,9,2,0,4,0,0,
21,126,0,0,0,2,1,0.87,0,5,1,19,1,1,
10,68,0,6,1,0,0,0.91,9,3,0,22,0,1,
15,95,0,4,0,0,0,0.82,13,1,0,24,1,1,
19,119,0,7,0,0,0,0.68,4,3,0,10,0,1,
22,134,0,5,0,0,0,0.43,15,6,1,17,1,1,
19,124,0,4,0,1,1,0.71,21,3,0,27,1,1,
14,92,0,8,1,1,1,0.7,14,1,0,11,0,1,
13,85,0,1,1,2,1,0.52,15,4,0,9,0,0,
13,90,0,8,1,2,1,0.55,22,4,0,20,0,0,
16,101,0,8,0,0,0,0.43,6,1,0,24,1,1,
24,139,0,8,0,0,0,0.52,4,0,0,16,1,1,
14,95,0,5,1,0,0,0.74,16,4,0,28,0,0,
21,130,0,4,1,0,0,0.84,5,1,0,13,1,0,
22,130,0,8,0,1,1,0.91,23,5,1,19,0,1,
20,143,0,3,0,0,0,0.61,1,3,0,18,0,1,
22,142,0,3,1,1,1,0.6,16,5,1,12,1,1,
26,164,0,8,1,0,0,0.45,4,5,1,6,1,1,
25,172,0,4,1,0,0,0.56,17,3,0,27,0,0,
21,132,0,2,0,1,1,0.79,11,6,1,23,1,1,
20,131,0,1,0,2,1,0.68,0,4,0,1,0,0,
19,110,0,6,1,1,1,0.7,2,1,0,17,1,1,
19,121,0,3,1,0,0,0.32,19,2,0,22,1,1,
19,116,0,7,1,0,0,0.66,13,2,0,8,0,0,
27,167,0,2,0,1,1,0.8,19,6,1,2,1,1,
16,102,0,8,1,0,0,0.81,13,2,0,18,0,0,
20,125,0,6,1,1,1,0.9,3,5,1,23,0,1,
12,84,0,0,0,1,1,0.54,23,2,0,27,0,1,
26,169,0,2,0,1,1,0.66,12,1,0,22,0,1,
24,152,0,3,1,1,1,0.59,5,4,0,14,0,1,
10,56,0,6,1,0,0,0.81,22,6,1,19,0,0,
16,103,0,7,1,2,1,0.85,8,3,0,30,0,1,
20,137,0,0,0,0,0,0.62,22,4,0,10,0,0,
20,145,0,5,1,2,1,0.65,0,4,0,18,0,1,
28,179,0,7,1,1,1,0.64,0,5,1,20,1,1,
13,64,0,7,0,1,1,0.87,12,4,0,7,1,1,
13,69,0,7,1,1,1,0.9,18,1,0,3,0,0,
17,113,0,2,0,1,1,0.8,21,4,0,5,0,0,
15,94,0,3,1,1,1,0.52,22,1,0,7,0,0,
15,94,0,3,1,1,1,1.0,16,6,1,14,1,0,
16,93,0,7,1,0,0,0.73,5,0,0,25,0,1,
9,53,0,4,0,0,0,0.5,7,5,1,28,0,0,
11,76,0,3,1,2,1,0.54,16,6,1,23,0,1,
11,74,0,4,1,2,1,0.92,17,5,1,28,0,1,
25,141,0,6,0,0,0,0.76,16,4,0,21,1,1,
27,165,0,0,0,0,0,0.69,19,2,0,11,0,0,
25,148,0,6,1,1,1,0.44,2,3,0,25,0,1,
19,120,0,1,0,0,0,0.44,9,0,0,13,1,1,
15,103,0,8,1,0,0,0.77,8,6,1,2,0,1,
19,104,0,1,0,1,1,0.73,11,1,0,19,1,1,
15,90,0,3,1,2,1,0.53,18,2,0,15,1,0,
11,69,0,0,0,2,1,0.92,9,1,0,24,0,0,
16,94,0,6,1,1,1,0.76,9,3,0,24,1,0,
19,105,0,8,1,1,1,0.53,15,5,1,1,0,0,
19,127,0,4,0,2,1,0.82,20,6,1,24,0,0,
22,138,0,1,0,0,0,0.41,1,0,0,3,0,0,
15,104,0,1,0,2,1,0.73,11,1,0,3,1,0,
13,103,0,6,1,2,1,0.67,9,3,0,25,0,0,
13,92,0,0,0,0,0,0.71,14,6,1,19,0,0,
24,159,0,7,0,1,1,0.77,18,0,0,1,1,1,
7,44,0,2,0,1,1,0.54,8,2,0,24,0,0,
15,95,0,2,1,1,1,0.81,7,1,0,10,1,1,
26,153,0,4,1,0,0,0.75,17,5,1,15,0,0,
16,97,0,0,0,1,1,0.44,5,1,0,2,1,1,
25,159,0,4,0,1,1,0.41,12,2,0,19,0,1,
10,71,0,5,1,0,0,0.91,12,0,0,11,1,1,
11,74,0,3,1,2,1,0.98,0,0,0,11,0,0,
13,78,0,2,0,0,0,0.63,15,4,0,6,0,1,
16,96,0,4,1,0,0,0.5,15,5,1,14,0,1,
17,111,0,7,1,1,1,0.52,19,4,0,21,1,0,
13,73,0,0,0,0,0,0.69,19,3,0,14,1,1,
26,170,0,8,0,0,0,0.51,2,3,0,2,1,0,
20,129,0,7,0,0,0,0.67,12,1,0,1,1,1,
18,112,0,2,0,2,1,0.62,11,5,1,30,0,0,
15,84,0,8,0,1,1,0.65,0,0,0,30,1,1,
20,127,0,7,1,2,1,0.51,3,5,1,12,0,0,
6,39,0,4,0,2,1,0.75,0,5,1,28,0,1,
12,76,0,5,1,1,1,0.43,4,0,0,9,1,1,
19,101,0,0,0,1,1,0.5,0,6,1,29,1,1,
13,101,0,8,1,2,1,0.88,9,4,0,3,0,0,
24,143,0,8,1,1,1,0.51,6,6,1,19,0,1,
16,99,0,3,0,0,0,0.62,11,0,0,7,0,1,
23,145,0,2,0,1,1,0.54,10,2,0,24,0,1,
23,139,0,7,1,1,1,0.74,4,0,0,18,0,0,
24,156,0,6,1,2,1,0.77,19,0,0,30,0,1,
24,158,0,7,1,1,1,0.79,4,4,0,29,1,1,
15,86,0,5,1,0,0,0.69,14,2,0,28,1,1,
13,77,0,7,0,1,1,0.86,3,3,0,1,0,0,
21,146,0,3,1,2,1,0.83,14,5,1,10,0,0,
26,159,0,2,0,1,1,0.74,6,1,0,28,0,1,
13,80,0,4,1,0,0,0.56,7,5,1,18,0,0,
12,68,0,2,0,0,0,0.52,14,5,1,2,0,0,
13,68,0,7,1,2,1,0.6,6,6,1,11,1,0,
11,67,0,4,1,1,1,0.92,5,6,1,26,0,0,
19,113,0,2,0,0,0,0.87,3,0,0,30,0,0,
22,133,0,4,0,0,0,0.61,1,2,0,13,0,1,
17,104,0,7,0,1,1,0.8,17,5,1,29,1,1,
20,134,0,8,0,2,1,0.68,10,3,0,21,1,0,
19,123,0,8,0,1,1,0.76,3,1,0,9,1,1,
11,59,0,5,0,0,0,0.59,22,6,1,1,1,0,
21,143,0,3,0,0,0,0.85,14,1,0,8,0,0,
10,70,0,8,1,2,1,0.96,0,4,0,12,1,0,
21,123,0,1,0,1,1,0.54,10,3,0,29,1,1,
13,69,0,6,1,1,1,0.87,1,5,1,17,0,0,
22,139,0,5,1,1,1,0.41,13,6,1,26,0,1,
14,84,0,0,1,0,0,0.62,13,3,0,17,1,1,
25,144,0,2,0,1,1,0.34,4,5,1,6,1,1,
19,131,0,0,0,1,1,0.52,6,0,0,22,1,0,
16,106,0,3,1,1,1,0.88,16,2,0,27,0,1,
24,142,0,8,0,0,0,0.78,2,0,0,21,1,1,
27,183,0,6,1,1,1,0.88,7,3,0,3,1,0,
6,37,0,3,1,0,0,0.87,23,3,0,21,1,1,
23,145,0,1,0,0,0,0.7,1,3,0,21,0,1,
16,107,0,2,0,0,0,0.46,14,3,0,16,0,1,
19,122,0,6,1,2,1,0.63,3,3,0,24,0,1,
27,172,0,3,0,0,0,0.61,23,5,1,25,1,0,
15,96,0,8,1,1,1,0.89,15,1,0,4,0,1,
23,155,0,8,1,1,1,0.76,5,4,0,4,1,0,
14,98,0,8,0,1,1,0.61,3,2,0,2,0,0,
20,124,0,5,1,1,1,0.77,3,4,0,29,0,1,
